"","binary","apply(robust_traces[, -1], 1, rank)"
"21","/usr/bin/sort",150
"22","/usr/bin/sort",150
"23","/usr/bin/sort",150
"24","/usr/bin/sort",150
"25","/usr/bin/sort",150
"26","/usr/bin/sort",150
"27","/usr/bin/sort",150
"28","/usr/bin/sort",150
"29","/usr/bin/sort",150
"30","/usr/bin/sort",150
"31","/usr/bin/sort",150
"32","/usr/bin/sort",150
"33","/usr/bin/sort",150
"34","/usr/bin/sort",150
"35","/usr/bin/sort",150
"36","/usr/bin/sort",150
"37","/usr/bin/sort",150
"38","/usr/bin/sort",150
"39","/usr/bin/sort",150
"40","/usr/bin/sort",150
"41","/usr/bin/sort",150
"42","/usr/bin/wc",150
"43","/usr/bin/wc",150
"46","/usr/bin/wc",150
"47","/usr/bin/wc",150
"48","/usr/bin/wc",150
"49","/usr/bin/readelf",150
"50","/usr/bin/readelf",150
"51","/usr/bin/readelf",150
"52","/usr/bin/readelf",150
"53","/usr/bin/readelf",150
"54","/usr/bin/readelf",150
"55","/usr/bin/readelf",150
"56","/usr/bin/readelf",150
"57","/usr/bin/readelf",150
"58","/usr/bin/readelf",150
"59","/usr/bin/readelf",150
"60","/usr/bin/readelf",150
"61","/usr/bin/readelf",150
"62","/usr/bin/readelf",150
"63","/usr/bin/readelf",150
"64","/usr/bin/readelf",150
"66","/usr/bin/readelf",150
"67","/usr/bin/readelf",150
"68","/usr/bin/readelf",150
"69","/usr/bin/readelf",150
"70","/usr/bin/readelf",150
"71","/usr/bin/readelf",150
"72","/usr/bin/readelf",150
"74","/usr/bin/readelf",150
"75","/usr/bin/readelf",150
"77","/usr/bin/readelf",150
"78","/usr/bin/readelf",150
"79","/usr/bin/readelf",150
"80","/usr/bin/readelf",150
"81","/usr/bin/readelf",150
"83","/usr/bin/readelf",150
"84","/usr/bin/readelf",150
"86","/usr/bin/readelf",150
"87","/usr/bin/readelf",150
"89","/usr/bin/readelf",150
"90","/usr/bin/readelf",150
"91","/usr/bin/readelf",150
"92","/usr/bin/readelf",150
"93","/usr/bin/readelf",150
"94","/usr/bin/readelf",150
"95","/usr/bin/readelf",150
"96","/usr/bin/readelf",150
"97","/usr/bin/readelf",150
"98","/usr/bin/readelf",150
"99","/usr/bin/readelf",150
"100","/usr/bin/readelf",150
"101","/usr/bin/readelf",150
"102","/usr/bin/readelf",150
"103","/usr/bin/readelf",150
"106","/usr/bin/readelf",150
"107","/usr/bin/readelf",150
"108","/usr/bin/readelf",150
"109","/usr/bin/readelf",150
"110","/usr/bin/readelf",150
"111","/usr/bin/readelf",150
"112","/usr/bin/readelf",150
"113","/usr/bin/readelf",150
"114","/usr/bin/readelf",150
"116","/usr/bin/readelf",150
"117","/usr/bin/readelf",150
"134","/bin/grep",150
"136","/bin/grep",150
"137","/bin/grep",150
"139","/bin/grep",150
"140","/bin/grep",150
"1","/usr/bin/pnginfo",50
"2","/usr/bin/pnginfo",50
"3","/usr/bin/optipng",50
"4","/usr/bin/optipng",50
"5","/usr/bin/optipng",50
"6","/usr/bin/optipng",50
"7","/usr/bin/optipng",50
"8","/usr/bin/optipng",50
"9","/usr/bin/optipng",50
"10","/usr/bin/optipng",50
"11","/usr/bin/optipng",50
"12","/usr/bin/optipng",50
"13","/usr/bin/optipng",50
"14","/usr/bin/optipng",50
"15","/usr/bin/optipng",50
"16","/usr/bin/optipng",50
"17","/usr/bin/optipng",50
"18","/usr/bin/optipng",50
"19","/usr/bin/optipng",50
"20","/usr/bin/optipng",50
"44","/usr/bin/wc",50
"45","/usr/bin/wc",50
"65","/usr/bin/readelf",50
"73","/usr/bin/readelf",50
"76","/usr/bin/readelf",50
"82","/usr/bin/readelf",50
"85","/usr/bin/readelf",50
"88","/usr/bin/readelf",50
"104","/usr/bin/readelf",50
"105","/usr/bin/readelf",50
"115","/usr/bin/readelf",50
"118","/usr/bin/objdump",50
"119","/usr/bin/objdump",50
"120","/usr/bin/objdump",50
"121","/usr/bin/objdump",50
"122","/usr/bin/objdump",50
"123","/usr/bin/objdump",50
"124","/usr/bin/objdump",50
"125","/usr/bin/objdump",50
"126","/usr/bin/objdump",50
"127","/usr/bin/objdump",50
"128","/usr/bin/objdump",50
"129","/usr/bin/objdump",50
"130","/usr/bin/objdump",50
"131","/usr/bin/objdump",50
"132","/bin/grep",50
"133","/bin/grep",50
"135","/bin/grep",50
"138","/bin/grep",50
"141","/usr/bin/nm",50
"142","/usr/bin/nm",50
"143","/usr/bin/nm",50
"144","/usr/bin/nm",50
"145","/usr/bin/nm",50
"146","/usr/bin/nm",50
"147","/usr/bin/nm",50
"148","/usr/bin/nm",50
"149","/usr/bin/nm",50
"150","/usr/bin/nm",50
"151","/usr/bin/nm",50
"152","/usr/bin/nm",50
"153","/usr/bin/nm",50
